Row,Perc100,Perc90,Perc80,Perc70,Perc60,Perc50,Perc40,Perc30,Perc20,Perc10
S_test1,0.961764234403727,0.96166161529936,0.96166161529936,0.963186005543263,0.962437879169491,0.961755958669504,0.961348792545726,0.964715408517609,0.954162192236261,0.910845510183268
S_TTD_test1,0.973758865248227,0.973758865248227,0.973758865248227,0.973758865248227,0.973758865248227,0.973758865248227,0.973758865248227,0.983282674772036,0.983282674772036,0.984802431610942
S_cm_test1,0.949769603559228,0.949564365350494,0.949564365350494,0.952613145838299,0.951116893090755,0.949753052090782,0.948938719843224,0.946148142263182,0.925041709700485,0.836888588755594
F1_test1,0.854748603351955,0.848708487084871,0.848708487084871,0.851885924563017,0.834080717488789,0.809318377911993,0.805150214592275,0.771986970684039,0.682471264367816,0.464390243902439
Prec_test1,0.788659793814433,0.777027027027027,0.777027027027027,0.778151260504202,0.746388443017656,0.703148425787106,0.696879643387816,0.644021739130435,0.527777777777778,0.305519897304236
Sens_test1,0.932926829268293,0.934959349593496,0.934959349593496,0.941056910569106,0.945121951219512,0.953252032520325,0.953252032520325,0.963414634146341,0.965447154471545,0.967479674796748
S_test2,0.952550191060431,0.952550191060431,0.952550191060431,0.952550191060431,0.95076553906757,0.95076553906757,0.948832166075304,0.946303909085417,0.940826810657694,0.92008929111844
S_TTD_test2,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.988278388278388
S_cm_test2,0.949475055066965,0.949475055066965,0.949475055066965,0.949475055066965,0.945905751081242,0.945905751081242,0.942039005096709,0.936982491116935,0.926028294261489,0.851900193958493
F1_test2,0.884041331802526,0.884041331802526,0.884041331802526,0.884041331802526,0.87202718006795,0.87202718006795,0.859375,0.843373493975904,0.791164658634538,0.626959247648903
Prec_test2,0.829741379310345,0.829741379310345,0.829741379310345,0.829741379310345,0.808823529411765,0.808823529411765,0.787321063394683,0.760869565217391,0.66893039049236,0.46029919447641
Sens_test2,0.945945945945946,0.945945945945946,0.945945945945946,0.945945945945946,0.945945945945946,0.945945945945946,0.945945945945946,0.945945945945946,0.968058968058968,0.982800982800983
